x_value,fpsCam1
0,0
1,7
2,45
3,25
4,25
5,25
6,24
7,27
8,31
9,31
10,27
11,31
12,28
13,31
14,31
15,27
16,31
17,31
18,27
19,31
20,31
21,27
22,31
23,31
24,27
25,31
26,31
27,27
28,31
29,27
30,31
31,31
32,27
33,31
34,31
35,27
36,31
37,31
38,27
39,31
40,31
41,27
42,31
43,30
44,27
45,31
46,31
47,27
48,31
49,27
50,31
51,31
52,27
53,31
54,31
55,27
56,31
57,31
58,27
59,31
60,31
61,27
62,31
63,31
64,27
65,31
66,31
67,27
68,31
69,27
70,31
71,31
72,27
73,31
74,31
75,27
76,31
77,31
78,27
79,31
80,31
81,27
82,31
83,31
84,27
85,31
86,31
87,27
88,31
89,27
90,31
91,31
92,27
93,31
94,31
95,27
96,31
97,31
98,27
99,31
100,31
101,27
102,31
103,31
104,27
105,31
106,31
107,27
108,31
109,27
110,31
111,31
112,27
113,31
114,31
115,27
116,31
117,31
118,27
119,31
120,31
121,27
122,31
123,31
124,27
125,31
126,31
127,27
128,31
129,27
130,31
131,31
132,27
133,31
134,31
135,27
136,31
137,31
138,27
139,31
140,31
141,27
142,31
143,31
144,27
145,31
146,27
147,31
148,31
149,27
150,31
151,31
152,27
153,31
154,31
155,27
156,31
157,30
158,27
159,31
160,30
161,27
162,31
163,31
164,27
165,31
166,27
167,31
168,31
169,27
170,31
171,31
172,27
173,31
174,31
175,27
176,31
177,31
178,27
179,31
180,31
181,27
182,31
183,31
184,27
185,31
186,27
187,31
188,31
189,27
190,31
191,31
192,27
193,31
194,31
195,27
196,31
197,31
198,27
199,31
200,31
201,27
202,31
203,31
204,27
205,31
206,27
207,31
208,31
209,27
210,31
211,31
212,27
213,31
214,31
215,27
216,31
217,31
218,27
219,31
220,31
221,27
222,31
223,31
224,27
225,31
226,27
227,31
228,31
229,27
230,31
231,31
232,27
233,31
234,31
235,27
236,31
237,31
238,27
239,31
240,31
241,27
242,31
243,31
244,27
245,31
246,28
247,31
248,31
249,27
250,31
251,31
252,27
253,31
254,31
255,27
256,31
257,31
258,28
259,31
260,31
261,27
262,31
263,27
264,31
265,31
266,27
267,31
268,31
269,27
270,31
271,31
272,27
273,31
274,31
275,27
276,31
277,31
278,27
279,31
280,31
281,27
282,31
283,27
284,31
285,31
286,27
287,31
288,31
289,27
290,31
291,31
292,27
293,31
294,31
295,27
296,31
297,31
298,27
299,31
300,31
301,27
302,31
303,27
304,31
305,31
306,27
307,31
308,31
309,27
310,31
311,31
312,27
313,31
314,30
315,27
316,31
317,31
318,27
319,31
320,31
321,27
322,31
323,27
324,31
325,31
326,27
327,31
328,31
329,27
330,31
331,31
332,27
333,31
334,31
335,27
336,31
337,31
338,27
339,31
340,31
341,27
342,31
343,27
344,31
345,31
346,27
347,31
348,31
349,27
350,31
351,31
352,27
353,31
354,30
355,28
356,31
357,31
358,27
359,31
360,31
361,27
362,31
363,27
364,31
365,31
366,27
367,31
368,31
369,27
370,31
371,30
372,27
373,31
374,31
375,27
376,31
377,31
378,27
379,31
380,31
381,27
382,31
383,27
384,31
385,31
386,27
387,31
388,31
389,27
390,31
391,31
392,27
393,31
394,31
395,27
396,31
397,31
398,27
399,31
400,27
401,31
402,31
403,27
404,31
405,31
406,27
407,31
408,31
409,27
410,31
411,31
412,27
413,31
414,31
415,27
416,31
417,31
418,27
419,31
420,27
421,31
422,31
423,27
424,31
425,31
426,27
427,31
428,31
429,27
430,31
431,31
432,27
433,31
434,31
435,27
436,31
437,31
438,27
439,31
440,27
441,31
442,31
443,27
444,31
445,31
446,27
447,31
448,30
449,27
450,31
451,31
452,27
453,32
454,31
455,27
456,31
457,31
458,27
459,31
460,27
461,31
462,31
463,27
464,31
465,31
466,27
467,30
468,32
469,27
470,30
471,31
472,27
473,30
474,31
475,27
476,30
477,31
478,27
479,31
480,27
481,31
482,31
483,28
484,31
485,30
486,28
487,31
488,31
489,27
490,31
491,31
492,27
493,31
494,30
495,27
496,31
497,31
498,27
499,31
500,27
501,31
502,31
503,27
504,31
505,31
506,27
507,31
508,31
509,27
510,31
511,30
512,27
513,31
514,31
515,27
516,30
517,27
518,31
519,31
520,27
521,31
522,31
523,27
524,31
525,31
526,27
527,30
528,31
529,27
530,31
531,30
532,27
533,31
534,31
535,27
536,30
537,27
538,31
539,31
540,27
541,31
542,31
543,27
544,31
545,31
546,27
547,31
548,31
549,27
550,31
551,30
552,27
553,31
554,31
555,27
556,31
557,27
558,31
559,31
560,27
561,31
562,31
563,27
564,31
565,31
566,27
567,31
568,31
569,27
570,31
571,31
572,27
573,31
574,31
575,27
576,31
577,27
578,31
579,31
580,27
581,31
582,31
583,27
584,31
585,31
586,27
587,31
588,31
589,27
590,31
591,31
592,27
593,31
594,31
595,27
596,31
597,27
598,31
599,31
600,27
601,31
602,31
603,27
604,31
605,31
606,27
607,31
608,31
609,27
610,31
611,31
612,27
613,31
614,31
615,27
616,31
617,27
618,31
619,31
620,27
621,31
622,31
623,27
624,31
625,31
626,27
627,31
628,31
629,27
630,31
631,31
632,27
633,31
634,27
635,31
636,31
637,27
638,30
639,31
640,27
641,31
642,31
643,27
644,31
645,31
646,27
647,31
648,31
649,27
650,31
651,31
652,27
653,31
654,27
655,31
656,31
657,27
658,31
659,31
660,27
661,31
662,31
663,27
664,31
665,31
666,27
667,31
668,31
669,27
670,31
671,31
672,27
673,31
674,27
675,31
676,31
677,27
678,31
679,31
680,27
