ind,fpsCam1
0,0
1,11
2,30
3,24
4,25
5,25
6,24
7,24
8,27
9,31
10,31
11,27
12,31
13,27
14,31
15,31
16,27
17,31
18,31
19,27
20,31
21,31
22,27
23,31
24,31
25,27
26,31
27,31
28,27
29,31
30,31
31,27
32,31
33,27
34,31
35,31
36,27
37,31
38,31
39,27
40,31
41,31
42,27
43,31
44,31
45,27
46,31
47,30
48,27
49,31
50,31
51,27
52,31
53,27
54,31
55,31
56,27
57,31
58,31
59,27
60,31
61,31
62,27
63,31
64,31
65,27
66,31
67,31
68,27
69,31
70,27
71,31
72,31
73,27
74,31
75,31
76,27
77,31
78,31
79,27
80,31
81,31
82,27
83,31
84,31
85,27
86,31
87,31
88,27
89,31
90,27
91,31
92,31
93,27
94,31
95,31
96,27
97,31
98,31
99,27
100,31
101,31
102,27
103,31
104,31
105,22
106,27
107,31
108,31
109,27
110,31
111,31
112,27
113,31
114,31
115,27
116,31
117,31
118,27
119,31
120,27
121,31
122,30
123,27
124,31
125,31
126,27
127,31
128,31
129,27
130,31
131,31
132,27
133,31
134,31
135,27
136,31
137,31
138,27
139,31
140,27
141,31
142,31
143,27
144,31
145,31
146,27
147,31
148,31
149,27
150,31
151,31
152,27
153,31
154,31
155,27
156,31
157,31
158,27
159,31
160,27
161,31
162,31
163,27
164,31
165,31
166,27
167,31
168,31
169,27
170,31
171,31
172,27
173,31
174,31
175,27
176,31
177,27
178,31
179,31
180,27
181,31
182,31
183,27
184,31
185,31
186,27
187,31
188,31
189,27
190,31
191,31
192,27
193,31
194,31
195,27
196,31
197,27
198,31
199,31
200,27
201,31
202,31
203,27
204,31
205,31
206,27
207,31
208,31
209,27
210,31
211,31
212,27
213,31
214,31
215,27
216,31
217,27
218,31
219,31
220,27
221,31
222,31
223,27
224,31
225,31
226,27
227,31
228,31
229,27
230,31
231,31
232,27
233,31
234,31
235,27
236,31
237,27
238,31
239,31
240,27
241,31
242,31
243,27
244,31
245,31
246,27
247,31
248,31
249,27
250,31
251,31
252,27
253,31
254,31
255,27
256,31
257,27
258,31
259,31
260,27
261,31
262,31
263,27
264,31
265,31
266,27
267,31
268,31
269,27
270,31
271,31
272,27
273,31
274,31
275,27
276,31
277,27
278,31
279,30
280,27
281,31
282,31
283,27
284,31
285,31
286,27
287,31
288,31
289,27
290,31
291,31
292,27
293,30
294,27
295,32
296,31
297,27
298,31
299,31
300,27
301,31
302,31
303,27
304,31
305,31
306,27
307,31
308,31
309,27
310,31
311,31
312,27
313,31
314,27
315,31
316,31
317,27
318,31
319,31
320,27
321,31
322,31
323,27
324,31
325,31
326,27
327,30
328,31
329,27
330,31
331,31
332,27
333,31
334,27
335,31
336,31
337,27
338,31
339,31
340,27
341,31
342,31
343,27
344,31
345,31
346,27
347,31
348,31
349,27
350,31
351,31
352,27
353,31
354,27
355,31
356,31
357,27
358,31
359,31
360,27
361,31
362,31
363,27
364,31
365,31
366,27
367,31
368,31
369,27
370,31
371,31
372,27
373,31
374,27
375,31
376,31
377,27
378,31
379,31
380,27
381,31
382,31
383,27
384,31
385,31
386,27
387,31
388,31
389,27
390,31
391,31
392,27
393,31
394,27
395,31
396,31
397,27
398,31
399,31
400,27
401,31
402,31
403,27
404,31
405,31
406,27
407,31
408,31
409,27
410,31
411,31
412,27
413,31
414,27
415,31
416,31
417,27
418,31
419,31
420,27
421,31
422,31
423,27
424,31
425,31
426,27
427,31
428,31
429,27
430,31
431,27
432,31
433,31
434,27
435,31
436,31
437,27
438,31
439,31
440,27
441,31
442,31
443,27
444,31
445,31
446,27
447,31
448,31
449,27
450,31
451,27
452,31
453,31
454,27
455,31
456,31
457,27
458,31
459,31
460,27
461,31
462,31
463,27
464,31
465,31
466,27
467,31
468,31
469,28
470,31
471,27
472,31
473,31
474,27
475,31
476,31
477,27
478,31
479,31
480,27
481,31
482,31
483,27
484,31
485,31
486,27
487,31
488,31
489,27
490,31
491,27
492,31
493,31
494,27
495,31
496,31
497,27
498,31
